fer-se malbé	echarse a perder
desendollar	desenchufar
endoll	enchufe
a cor què vols	a lo grande
a la llunyania	a lo lejos
a la babalà	a lo loco
a tot estirar	a lo sumo
altrament	de lo contrario
pel que fa a	en lo referente a
tant em fa	me da lo mismo
llanterner	fontanero
gens ni mica	ni lo más mínimo
ajornar	aplazar
emmalartir	caer enfermo
bajanada	sandez
mandrós	perezoso
garrepa	tacaño
cadell	cachorro
merla	mirlo
cadernera	jilguero
drapaire	trapero
serf	siervo
oïda	oído
remor	rumor
serena	relente
afront	afrenta
estruç	avestruz
sotsobre	zozobra
gual	vado
ivori	marfil
vellut	terciopelo
beix	beige
nosa	náuseas
safareig	lavadero
fàstic	asco
fastigós	asqueroso
oroneta	golondrina
apegalós	pegajoso
bressol	cuna
esborrall	borrón
esborrador	borrador
afamat	hambriento
lliurar	entregar
fiador	seguro
espelma	vela
botxí	verdugo
pas de vianants	paso de peatones
fadrí	soltero
faula	fábula
gratacel	rascacielos
abonament	entrada
pondre	poner
manilles	esposas
cruïlla	cruce
engegar	poner en marcha
acudit	chiste
traïdoria	alevosía
arrelar	arraigar
farmaciola	botiquín
vessar	derramar
allotjar	alojar
drassana	astillero
saborós	sabroso
esquinç	esguince
testimoni	testigo
aparador	escaparate
xamfrà	xaflán
baixador	apeadero
i tant	desde luego
em trau de pelleguera	me saca de mis casillas
corbata de llaç	pajarita
fermall	broche
metall	metal
fanal	farola
escurar	fregar
crosses	muletas
enxampar	atrapar
ajupir	agacharse
aldarulls	disturbios
espatllar	estropearse
rovellar	oxidar
llavor	semilla
hoste	huésped
falç	hoz
udol	aullido
albir	albedrío
maldestre	torpe
compliment	cumplido
tant de bo	ojalá
comandament	mando
petjapapers	pisapapeles
rosella	amapola
remugar	refunfuñar
clauer	llavero
estiuejar	veranear
teranyina	telaraña
retard	retraso
encenedor	mechero
bugada	colada
aclariment	aclaración
estrenyir	apretar
caragol	tornillo
abast	alcance
marbre	mármol
aplaudiment	aplauso
ruborós	bochornoso
gespa	césped
pressentiment	corazonada
menyspreu	desprecio
robament	robo
serrell	flequillo
franja	flequillo
hivernacle	hivernadero
vímet	mimbre
bolquer	pañal
pèl-roig	pelirrojo
illa	manzana
inversemblant	inverosímil
tornavís	destornillador
deessa	diosa
almoina	limosna
llotja	palco
penedir-se	arrepentirse
mentider	embustero
despessa	gasto
singlot	hipo
a poc a poc	poco a poco
sort que	menos mal que
de sobte	de repente
almenys	por lo menos
sostre	techo
fem	basura
seient	asiento
comanda	pedido
vés en compte	cuidado
bidell	bedel
gema	yema
i escaig	y pico
xiulet	pito
bombeta	bombilla
voltor	buitre
feu	feudo
escaire	escuadra
escuradent	palillo
farcit	relleno
